127.0.0.1 - - [17/May/2018:11:22:11 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/May/2018:11:22:13 +0700] "GET /E-Invoice_System/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:22:16 +0700] "GET /E-Invoice_System/login HTTP/1.1" 200 3428
0:0:0:0:0:0:0:1 - - [17/May/2018:11:22:17 +0700] "GET /E-Invoice_System/resources/assets/css/HeaderFooterStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:22:17 +0700] "GET /E-Invoice_System/resources/assets/css/LoginStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:22:17 +0700] "GET /E-Invoice_System/resources/assets/img/avatar.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:22:17 +0700] "GET /E-Invoice_System/resources/assets/img/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:22:54 +0700] "POST /E-Invoice_System/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:22:56 +0700] "GET /E-Invoice_System/ HTTP/1.1" 200 12820
0:0:0:0:0:0:0:1 - - [17/May/2018:11:22:56 +0700] "GET /E-Invoice_System/resources/assets/css/HeaderFooterStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:22:56 +0700] "GET /E-Invoice_System/resources/assets/css/list_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:22:56 +0700] "GET /E-Invoice_System/resources/assets/css/calender.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:22:56 +0700] "GET /E-Invoice_System/resources/assets/js/searchAll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:22:56 +0700] "GET /E-Invoice_System/resources/assets/css/Invoices.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:22:56 +0700] "GET /E-Invoice_System/resources/assets/js/AddInvoiceType.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:22:57 +0700] "GET /E-Invoice_System/resources/assets/js/UpdateForm.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:22:57 +0700] "GET /E-Invoice_System/resources/assets/js/InvoicesMain.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:22:57 +0700] "GET /E-Invoice_System/resources/assets/js/InvoiceForm.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:22:57 +0700] "GET /E-Invoice_System/resources/assets/js/Setlimit.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:22:57 +0700] "GET /E-Invoice_System/resources/assets/img/webLogo.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:22:57 +0700] "GET /E-Invoice_System/resources/assets/js/calendar.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:22:58 +0700] "GET /E-Invoice_System/getAllTypeInforByDate/2018-01-01 HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [17/May/2018:11:22:59 +0700] "GET /E-Invoice_System/getAllTypeInforByDate/2018-05-17 HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [17/May/2018:11:23:00 +0700] "GET /E-Invoice_System/getTypeInfor/1 HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [17/May/2018:11:23:00 +0700] "GET /E-Invoice_System/getTypeInfor/2 HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [17/May/2018:11:23:00 +0700] "GET /E-Invoice_System/getInvoiceFromUser HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [17/May/2018:11:23:00 +0700] "GET /E-Invoice_System/getlimitmoney HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [17/May/2018:11:23:01 +0700] "GET /E-Invoice_System/getreport/2018/5 HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [17/May/2018:11:23:01 +0700] "GET /E-Invoice_System/getreport/2018 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/May/2018:11:23:01 +0700] "GET /E-Invoice_System/gettypereport/2018/5/17 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [17/May/2018:11:23:04 +0700] "GET /E-Invoice_System/resources/assets/css/HeaderFooterStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:23:04 +0700] "GET /E-Invoice_System/resources/assets/css/list_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:23:04 +0700] "GET /E-Invoice_System/resources/assets/css/calender.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:23:04 +0700] "GET /E-Invoice_System/resources/assets/css/Invoices.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:43:32 +0700] "GET /E-Invoice_System/ HTTP/1.1" 200 12806
0:0:0:0:0:0:0:1 - - [17/May/2018:11:43:33 +0700] "GET /E-Invoice_System/resources/assets/css/calender.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:43:33 +0700] "GET /E-Invoice_System/resources/assets/css/list_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:43:33 +0700] "GET /E-Invoice_System/resources/assets/css/HeaderFooterStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:43:33 +0700] "GET /E-Invoice_System/resources/assets/js/searchAll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:43:33 +0700] "GET /E-Invoice_System/resources/assets/js/AddInvoiceType.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:43:33 +0700] "GET /E-Invoice_System/resources/assets/css/Invoices.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:43:33 +0700] "GET /E-Invoice_System/resources/assets/js/Setlimit.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:43:33 +0700] "GET /E-Invoice_System/resources/assets/js/InvoicesMain.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:43:33 +0700] "GET /E-Invoice_System/resources/assets/js/InvoiceForm.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:43:33 +0700] "GET /E-Invoice_System/resources/assets/js/UpdateForm.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:43:33 +0700] "GET /E-Invoice_System/resources/assets/img/webLogo.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:43:33 +0700] "GET /E-Invoice_System/resources/assets/js/calendar.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:43:34 +0700] "GET /E-Invoice_System/getAllTypeInforByDate/2018-01-01 HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [17/May/2018:11:43:35 +0700] "GET /E-Invoice_System/getAllTypeInforByDate/2018-05-17 HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [17/May/2018:11:43:35 +0700] "GET /E-Invoice_System/getTypeInfor/2 HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [17/May/2018:11:43:35 +0700] "GET /E-Invoice_System/getTypeInfor/1 HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [17/May/2018:11:43:35 +0700] "GET /E-Invoice_System/getInvoiceFromUser HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [17/May/2018:11:43:36 +0700] "GET /E-Invoice_System/getlimitmoney HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [17/May/2018:11:43:36 +0700] "GET /E-Invoice_System/getreport/2018/5 HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [17/May/2018:11:43:36 +0700] "GET /E-Invoice_System/getreport/2018 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/May/2018:11:43:36 +0700] "GET /E-Invoice_System/gettypereport/2018/5/17 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [17/May/2018:11:43:55 +0700] "GET /E-Invoice_System/ HTTP/1.1" 200 12818
0:0:0:0:0:0:0:1 - - [17/May/2018:11:43:55 +0700] "GET /E-Invoice_System/resources/assets/css/list_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:11:43:55 +0700] "GET /E-Invoice_System/resources/assets/css/calender.css HTTP/1.1" 304 -
